phenomenonTime,ax_m_s2,ay_m_s2,az_m_s2
2026-05-01T12:00:00.000Z,0.0036,0.0156,9.8005
2026-05-01T12:00:00.020Z,0.0628,0.0892,9.8761
2026-05-01T12:00:00.040Z,0.1492,0.1001,9.7916
2026-05-01T12:00:00.060Z,0.1409,0.002,9.7987
2026-05-01T12:00:00.080Z,0.1283,0.0363,9.7599
2026-05-01T12:00:00.100Z,0.1141,-0.0341,9.8056
2026-05-01T12:00:00.120Z,0.0206,-0.0068,9.819
2026-05-01T12:00:00.140Z,-0.0798,0.0343,9.811
2026-05-01T12:00:00.160Z,-0.1189,0.0525,9.8158
2026-05-01T12:00:00.180Z,-0.19,-0.0042,9.8235
2026-05-01T12:00:00.200Z,-0.1766,0.0289,9.846
2026-05-01T12:00:00.220Z,-0.1133,0.016,9.8769
2026-05-01T12:00:00.240Z,-0.016,-0.0745,9.7905
2026-05-01T12:00:00.260Z,-0.0025,-0.0411,9.8244
2026-05-01T12:00:00.280Z,0.1208,0.0279,9.7979
2026-05-01T12:00:00.300Z,0.1475,0.0967,9.7703
2026-05-01T12:00:00.320Z,0.206,0.0842,9.7081
2026-05-01T12:00:00.340Z,0.1014,0.0676,9.8121
2026-05-01T12:00:00.360Z,0.0581,-0.0503,9.8247
2026-05-01T12:00:00.380Z,0.0222,-0.0445,9.8286
2026-05-01T12:00:00.400Z,-0.1544,-0.0483,9.7919
2026-05-01T12:00:00.420Z,-0.1403,-0.0395,9.87
2026-05-01T12:00:00.440Z,-0.1577,0.0121,9.8165
2026-05-01T12:00:00.460Z,-0.1582,0.0258,9.8244
2026-05-01T12:00:00.480Z,-0.0963,0.0859,9.9031
2026-05-01T12:00:00.500Z,0.0021,0.0167,9.8124
2026-05-01T12:00:00.520Z,-0.0171,-0.05,9.7743
2026-05-01T12:00:00.540Z,0.0893,-0.0465,9.7512
2026-05-01T12:00:00.560Z,0.1214,-0.0643,9.8228
2026-05-01T12:00:00.580Z,0.121,0.0177,9.8148
2026-05-01T12:00:00.600Z,0.0957,0.0243,9.8491
2026-05-01T12:00:00.620Z,0.041,0.0936,9.8108
2026-05-01T12:00:00.640Z,-0.0192,-0.048,9.7419
2026-05-01T12:00:00.660Z,-0.1113,-0.0818,9.8125
2026-05-01T12:00:00.680Z,-0.1181,-0.1337,9.8211
2026-05-01T12:00:00.700Z,-0.0911,-0.0063,9.8203
2026-05-01T12:00:00.720Z,-0.0655,-0.0368,9.8504
2026-05-01T12:00:00.740Z,-0.0396,0.0448,9.7899
2026-05-01T12:00:00.760Z,0.0362,0.0523,9.7672
2026-05-01T12:00:00.780Z,0.1033,0.0185,9.8709
2026-05-01T12:00:00.800Z,0.1151,-0.0199,9.796
2026-05-01T12:00:00.820Z,0.1359,-0.0459,9.7801
2026-05-01T12:00:00.840Z,0.1183,-0.0165,9.8575
2026-05-01T12:00:00.860Z,0.0504,-0.0556,9.8091
2026-05-01T12:00:00.880Z,-0.047,0.0625,9.8726
2026-05-01T12:00:00.900Z,-0.083,0.1088,9.8232
2026-05-01T12:00:00.920Z,-0.1393,0.012,9.799
2026-05-01T12:00:00.940Z,-0.1697,-0.0214,9.8137
2026-05-01T12:00:00.960Z,-0.1642,-0.0967,9.8001
2026-05-01T12:00:00.980Z,-0.1019,-0.0525,9.829
2026-05-01T12:00:01.000Z,0.002,0.0294,9.8603
