phenomenonTime,temperature_C,relative_humidity_pct,precipitation_mm,quality_flag
2026-05-01T00:00:00Z,6.32,91.5,0.0,suspect
2026-05-01T00:10:00Z,6.72,91.5,0.021,raw
2026-05-01T00:20:00Z,6.86,92.8,0.002,raw
2026-05-01T00:30:00Z,7.52,90.4,0.043,raw
2026-05-01T00:40:00Z,7.58,88.8,0.0,raw
2026-05-01T00:50:00Z,6.53,93.6,0.0,raw
2026-05-01T01:00:00Z,6.52,88.5,0.024,raw
2026-05-01T01:10:00Z,7.24,87.4,0.0,raw
2026-05-01T01:20:00Z,7.68,91.4,0.0,raw
2026-05-01T01:30:00Z,7.66,85.9,0.0,raw
2026-05-01T01:40:00Z,8.56,86.2,0.036,raw
2026-05-01T01:50:00Z,7.37,87.6,0.003,raw
2026-05-01T02:00:00Z,7.57,87.9,0.039,raw
2026-05-01T02:10:00Z,9.0,87.8,0.016,raw
2026-05-01T02:20:00Z,7.93,85.3,0.0,raw
2026-05-01T02:30:00Z,9.32,88.3,0.0,raw
2026-05-01T02:40:00Z,8.83,84.6,0.0,raw
2026-05-01T02:50:00Z,9.11,86.5,0.0,raw
2026-05-01T03:00:00Z,8.4,87.5,0.0,raw
2026-05-01T03:10:00Z,8.09,81.5,0.0,raw
2026-05-01T03:20:00Z,9.33,81.2,0.03,raw
2026-05-01T03:30:00Z,10.33,76.5,0.0,raw
2026-05-01T03:40:00Z,9.05,81.2,0.0,raw
2026-05-01T03:50:00Z,11.2,79.4,0.004,raw
2026-05-01T04:00:00Z,9.89,77.9,0.0,raw
2026-05-01T04:10:00Z,10.14,80.9,0.0,raw
2026-05-01T04:20:00Z,10.36,78.0,0.007,raw
2026-05-01T04:30:00Z,10.8,76.8,0.002,raw
2026-05-01T04:40:00Z,11.42,75.7,0.0,raw
2026-05-01T04:50:00Z,11.31,72.4,0.0,raw
2026-05-01T05:00:00Z,12.17,79.0,0.029,raw
2026-05-01T05:10:00Z,12.55,71.9,0.0,raw
2026-05-01T05:20:00Z,12.65,72.2,0.0,raw
2026-05-01T05:30:00Z,13.39,72.6,0.008,raw
2026-05-01T05:40:00Z,14.01,68.6,0.021,raw
2026-05-01T05:50:00Z,13.67,69.0,0.0,raw
2026-05-01T06:00:00Z,14.92,68.9,0.0,raw
2026-05-01T06:10:00Z,14.41,66.1,0.007,suspect
2026-05-01T06:20:00Z,13.95,65.5,0.0,raw
2026-05-01T06:30:00Z,15.03,67.1,0.0,raw
2026-05-01T06:40:00Z,15.49,67.2,0.017,raw
2026-05-01T06:50:00Z,15.85,65.0,0.0,raw
2026-05-01T07:00:00Z,15.72,66.6,0.0,raw
2026-05-01T07:10:00Z,16.89,64.6,0.005,raw
2026-05-01T07:20:00Z,16.13,60.0,0.003,raw
2026-05-01T07:30:00Z,17.81,60.7,0.018,raw
2026-05-01T07:40:00Z,16.42,62.5,0.051,raw
2026-05-01T07:50:00Z,17.34,59.7,0.0,raw
2026-05-01T08:00:00Z,17.35,61.1,0.0,raw
2026-05-01T08:10:00Z,17.41,64.3,0.0,raw
2026-05-01T08:20:00Z,18.6,63.9,0.0,raw
2026-05-01T08:30:00Z,17.68,56.9,0.0,raw
2026-05-01T08:40:00Z,18.85,61.1,0.027,raw
2026-05-01T08:50:00Z,18.98,57.0,0.0,raw
2026-05-01T09:00:00Z,20.18,61.3,0.0,raw
2026-05-01T09:10:00Z,19.89,57.2,0.0,raw
2026-05-01T09:20:00Z,19.88,57.8,0.0,raw
2026-05-01T09:30:00Z,19.89,55.3,0.0,raw
2026-05-01T09:40:00Z,20.4,61.2,0.0,raw
2026-05-01T09:50:00Z,20.95,56.8,0.0,raw
2026-05-01T10:00:00Z,20.44,54.3,0.0,raw
2026-05-01T10:10:00Z,19.38,59.5,0.016,raw
2026-05-01T10:20:00Z,20.32,53.4,0.0,raw
2026-05-01T10:30:00Z,21.0,55.6,0.0,raw
2026-05-01T10:40:00Z,20.45,53.7,0.036,raw
2026-05-01T10:50:00Z,20.15,57.1,0.043,raw
2026-05-01T11:00:00Z,21.43,56.7,0.026,raw
2026-05-01T11:10:00Z,20.16,55.5,0.004,raw
2026-05-01T11:20:00Z,20.59,53.8,0.008,raw
2026-05-01T11:30:00Z,21.27,52.3,0.0,raw
2026-05-01T11:40:00Z,20.36,57.6,0.0,raw
2026-05-01T11:50:00Z,20.68,57.7,0.0,raw
2026-05-01T12:00:00Z,22.16,58.4,0.0,raw
2026-05-01T12:10:00Z,21.21,53.8,0.003,raw
2026-05-01T12:20:00Z,20.16,56.8,0.0,suspect
2026-05-01T12:30:00Z,21.11,59.4,0.035,raw
2026-05-01T12:40:00Z,20.7,59.7,0.0,raw
2026-05-01T12:50:00Z,20.67,58.7,0.0,raw
2026-05-01T13:00:00Z,20.14,56.7,0.0,raw
2026-05-01T13:10:00Z,20.56,59.6,0.0,raw
2026-05-01T13:20:00Z,21.17,60.5,0.0,raw
2026-05-01T13:30:00Z,20.24,58.9,0.0,raw
2026-05-01T13:40:00Z,19.85,61.3,0.004,raw
2026-05-01T13:50:00Z,21.29,59.8,0.045,raw
2026-05-01T14:00:00Z,19.89,64.6,0.0,raw
2026-05-01T14:10:00Z,18.92,60.4,0.0,raw
2026-05-01T14:20:00Z,19.47,64.8,0.029,raw
2026-05-01T14:30:00Z,18.76,61.9,0.0,raw
2026-05-01T14:40:00Z,20.29,66.9,0.029,raw
2026-05-01T14:50:00Z,19.55,63.3,0.0,raw
2026-05-01T15:00:00Z,17.37,64.2,0.0,raw
2026-05-01T15:10:00Z,18.58,65.1,0.0,raw
2026-05-01T15:20:00Z,18.68,66.5,0.0,raw
2026-05-01T15:30:00Z,17.04,65.9,0.0,raw
2026-05-01T15:40:00Z,18.56,69.6,0.013,raw
2026-05-01T15:50:00Z,17.47,67.3,0.008,raw
2026-05-01T16:00:00Z,17.42,72.0,0.014,raw
2026-05-01T16:10:00Z,16.17,72.3,0.016,raw
2026-05-01T16:20:00Z,17.39,72.6,0.0,raw
2026-05-01T16:30:00Z,16.94,71.2,0.0,raw
2026-05-01T16:40:00Z,16.26,69.8,0.0,raw
2026-05-01T16:50:00Z,16.06,74.1,0.0,raw
2026-05-01T17:00:00Z,15.62,73.2,0.033,raw
2026-05-01T17:10:00Z,15.59,76.0,0.0,raw
2026-05-01T17:20:00Z,15.71,73.7,0.0,raw
2026-05-01T17:30:00Z,15.25,78.1,0.038,raw
2026-05-01T17:40:00Z,14.11,80.3,0.009,raw
2026-05-01T17:50:00Z,14.09,76.3,0.0,raw
2026-05-01T18:00:00Z,13.59,79.2,0.0,raw
2026-05-01T18:10:00Z,13.93,79.7,0.025,raw
2026-05-01T18:20:00Z,13.71,84.6,0.057,raw
2026-05-01T18:30:00Z,12.56,81.6,0.0,suspect
2026-05-01T18:40:00Z,13.78,83.3,0.018,raw
2026-05-01T18:50:00Z,12.43,82.8,0.044,raw
2026-05-01T19:00:00Z,12.5,85.4,0.004,raw
2026-05-01T19:10:00Z,11.62,85.8,0.049,raw
2026-05-01T19:20:00Z,12.05,86.1,0.0,raw
2026-05-01T19:30:00Z,11.11,80.0,0.024,raw
2026-05-01T19:40:00Z,11.28,86.0,0.008,raw
2026-05-01T19:50:00Z,10.9,88.2,0.048,raw
2026-05-01T20:00:00Z,11.39,86.3,0.02,raw
2026-05-01T20:10:00Z,10.06,87.2,0.21,raw
2026-05-01T20:20:00Z,10.13,82.2,0.195,raw
2026-05-01T20:30:00Z,9.24,86.5,0.171,raw
2026-05-01T20:40:00Z,10.55,88.0,0.343,raw
2026-05-01T20:50:00Z,10.56,91.4,0.275,raw
2026-05-01T21:00:00Z,9.13,91.4,0.369,raw
2026-05-01T21:10:00Z,9.41,89.5,0.138,raw
2026-05-01T21:20:00Z,8.64,88.5,0.326,raw
2026-05-01T21:30:00Z,9.1,91.4,0.359,raw
2026-05-01T21:40:00Z,7.87,91.6,0.294,raw
2026-05-01T21:50:00Z,8.48,88.4,0.318,raw
2026-05-01T22:00:00Z,7.15,90.1,0.319,raw
2026-05-01T22:10:00Z,7.68,95.3,0.072,raw
2026-05-01T22:20:00Z,6.84,90.3,0.318,raw
2026-05-01T22:30:00Z,7.04,89.0,0.129,raw
2026-05-01T22:40:00Z,8.17,92.3,0.103,raw
2026-05-01T22:50:00Z,7.35,91.4,0.138,raw
2026-05-01T23:00:00Z,7.74,90.1,0.321,raw
2026-05-01T23:10:00Z,6.86,91.6,0.26,raw
2026-05-01T23:20:00Z,6.5,93.2,0.125,raw
2026-05-01T23:30:00Z,8.18,94.1,0.363,raw
2026-05-01T23:40:00Z,6.8,91.2,0.386,raw
2026-05-01T23:50:00Z,8.0,90.2,0.033,raw
2026-05-02T00:00:00Z,6.46,93.6,0.388,raw
2026-05-02T00:10:00Z,7.59,94.7,0.005,raw
2026-05-02T00:20:00Z,6.8,89.9,0.001,raw
2026-05-02T00:30:00Z,7.0,90.1,0.025,raw
2026-05-02T00:40:00Z,5.76,91.2,0.0,suspect
2026-05-02T00:50:00Z,6.99,90.6,0.0,raw
2026-05-02T01:00:00Z,7.37,89.2,0.009,raw
2026-05-02T01:10:00Z,7.9,88.7,0.0,raw
2026-05-02T01:20:00Z,6.76,89.6,0.0,raw
2026-05-02T01:30:00Z,7.25,83.4,0.0,raw
2026-05-02T01:40:00Z,7.73,90.0,0.018,raw
2026-05-02T01:50:00Z,8.52,85.0,0.0,raw
2026-05-02T02:00:00Z,7.47,87.2,0.012,raw
2026-05-02T02:10:00Z,8.93,90.0,0.0,raw
2026-05-02T02:20:00Z,8.43,85.6,0.04,raw
2026-05-02T02:30:00Z,8.88,87.6,0.0,raw
2026-05-02T02:40:00Z,9.09,82.9,0.0,raw
2026-05-02T02:50:00Z,9.23,84.1,0.006,raw
2026-05-02T03:00:00Z,9.05,83.1,0.0,raw
2026-05-02T03:10:00Z,9.6,81.6,0.0,raw
2026-05-02T03:20:00Z,10.35,80.7,0.058,raw
2026-05-02T03:30:00Z,10.2,86.3,0.019,raw
2026-05-02T03:40:00Z,10.73,83.9,0.0,raw
2026-05-02T03:50:00Z,9.48,82.3,0.0,raw
2026-05-02T04:00:00Z,10.55,81.0,0.0,raw
2026-05-02T04:10:00Z,10.56,77.2,0.0,raw
2026-05-02T04:20:00Z,11.63,77.6,0.012,raw
2026-05-02T04:30:00Z,10.99,75.5,0.012,raw
2026-05-02T04:40:00Z,11.24,80.0,0.0,raw
2026-05-02T04:50:00Z,11.7,79.5,0.006,raw
2026-05-02T05:00:00Z,10.91,71.2,0.0,raw
2026-05-02T05:10:00Z,13.21,69.1,0.001,raw
2026-05-02T05:20:00Z,12.87,71.6,0.0,raw
2026-05-02T05:30:00Z,13.49,66.7,0.0,raw
2026-05-02T05:40:00Z,14.1,69.6,0.0,raw
2026-05-02T05:50:00Z,13.87,70.5,0.008,raw
2026-05-02T06:00:00Z,13.18,66.6,0.0,raw
2026-05-02T06:10:00Z,13.94,69.7,0.0,raw
2026-05-02T06:20:00Z,14.58,68.8,0.028,raw
2026-05-02T06:30:00Z,14.46,71.4,0.007,raw
