@iot.id,@iot.selfLink,FeatureOfInterest@iot.navigationLink,Datastream@iot.navigationLink,phenomenonTime,resultTime,result,resultQuality,validTime,parameters,Commit@iot.navigationLink,ylabel
439098,https://istsos.org/v4/v1.1/Observations(439098),https://istsos.org/v4/v1.1/Observations(439098)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439098)/Datastream,2022-12-31T23:10:00Z,2022-12-31T23:10:00Z,95.7,100,,,https://istsos.org/v4/v1.1/Observations(439098)/Commit(307),%
439099,https://istsos.org/v4/v1.1/Observations(439099),https://istsos.org/v4/v1.1/Observations(439099)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439099)/Datastream,2022-12-31T23:20:00Z,2022-12-31T23:20:00Z,95.9,100,,,https://istsos.org/v4/v1.1/Observations(439099)/Commit(307),%
439100,https://istsos.org/v4/v1.1/Observations(439100),https://istsos.org/v4/v1.1/Observations(439100)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439100)/Datastream,2022-12-31T23:30:00Z,2022-12-31T23:30:00Z,96.2,100,,,https://istsos.org/v4/v1.1/Observations(439100)/Commit(307),%
439101,https://istsos.org/v4/v1.1/Observations(439101),https://istsos.org/v4/v1.1/Observations(439101)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439101)/Datastream,2022-12-31T23:40:00Z,2022-12-31T23:40:00Z,95.9,100,,,https://istsos.org/v4/v1.1/Observations(439101)/Commit(307),%
439102,https://istsos.org/v4/v1.1/Observations(439102),https://istsos.org/v4/v1.1/Observations(439102)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439102)/Datastream,2022-12-31T23:50:00Z,2022-12-31T23:50:00Z,96.3,100,,,https://istsos.org/v4/v1.1/Observations(439102)/Commit(307),%
439103,https://istsos.org/v4/v1.1/Observations(439103),https://istsos.org/v4/v1.1/Observations(439103)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439103)/Datastream,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,96.0,100,,,https://istsos.org/v4/v1.1/Observations(439103)/Commit(307),%
439104,https://istsos.org/v4/v1.1/Observations(439104),https://istsos.org/v4/v1.1/Observations(439104)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439104)/Datastream,2023-01-01T00:10:00Z,2023-01-01T00:10:00Z,96.1,100,,,https://istsos.org/v4/v1.1/Observations(439104)/Commit(307),%
439105,https://istsos.org/v4/v1.1/Observations(439105),https://istsos.org/v4/v1.1/Observations(439105)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439105)/Datastream,2023-01-01T00:20:00Z,2023-01-01T00:20:00Z,96.1,100,,,https://istsos.org/v4/v1.1/Observations(439105)/Commit(307),%
439106,https://istsos.org/v4/v1.1/Observations(439106),https://istsos.org/v4/v1.1/Observations(439106)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439106)/Datastream,2023-01-01T00:30:00Z,2023-01-01T00:30:00Z,95.8,100,,,https://istsos.org/v4/v1.1/Observations(439106)/Commit(307),%
439107,https://istsos.org/v4/v1.1/Observations(439107),https://istsos.org/v4/v1.1/Observations(439107)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439107)/Datastream,2023-01-01T00:40:00Z,2023-01-01T00:40:00Z,96.0,100,,,https://istsos.org/v4/v1.1/Observations(439107)/Commit(307),%
439108,https://istsos.org/v4/v1.1/Observations(439108),https://istsos.org/v4/v1.1/Observations(439108)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439108)/Datastream,2023-01-01T00:50:00Z,2023-01-01T00:50:00Z,95.8,100,,,https://istsos.org/v4/v1.1/Observations(439108)/Commit(307),%
439109,https://istsos.org/v4/v1.1/Observations(439109),https://istsos.org/v4/v1.1/Observations(439109)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439109)/Datastream,2023-01-01T01:00:00Z,2023-01-01T01:00:00Z,96.0,100,,,https://istsos.org/v4/v1.1/Observations(439109)/Commit(307),%
439110,https://istsos.org/v4/v1.1/Observations(439110),https://istsos.org/v4/v1.1/Observations(439110)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439110)/Datastream,2023-01-01T01:10:00Z,2023-01-01T01:10:00Z,95.8,100,,,https://istsos.org/v4/v1.1/Observations(439110)/Commit(307),%
439111,https://istsos.org/v4/v1.1/Observations(439111),https://istsos.org/v4/v1.1/Observations(439111)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439111)/Datastream,2023-01-01T01:20:00Z,2023-01-01T01:20:00Z,95.6,100,,,https://istsos.org/v4/v1.1/Observations(439111)/Commit(307),%
439112,https://istsos.org/v4/v1.1/Observations(439112),https://istsos.org/v4/v1.1/Observations(439112)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439112)/Datastream,2023-01-01T01:30:00Z,2023-01-01T01:30:00Z,95.4,100,,,https://istsos.org/v4/v1.1/Observations(439112)/Commit(307),%
439113,https://istsos.org/v4/v1.1/Observations(439113),https://istsos.org/v4/v1.1/Observations(439113)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439113)/Datastream,2023-01-01T01:40:00Z,2023-01-01T01:40:00Z,95.5,100,,,https://istsos.org/v4/v1.1/Observations(439113)/Commit(307),%
439114,https://istsos.org/v4/v1.1/Observations(439114),https://istsos.org/v4/v1.1/Observations(439114)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439114)/Datastream,2023-01-01T01:50:00Z,2023-01-01T01:50:00Z,95.9,100,,,https://istsos.org/v4/v1.1/Observations(439114)/Commit(307),%
439115,https://istsos.org/v4/v1.1/Observations(439115),https://istsos.org/v4/v1.1/Observations(439115)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439115)/Datastream,2023-01-01T02:00:00Z,2023-01-01T02:00:00Z,95.8,100,,,https://istsos.org/v4/v1.1/Observations(439115)/Commit(307),%
439116,https://istsos.org/v4/v1.1/Observations(439116),https://istsos.org/v4/v1.1/Observations(439116)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439116)/Datastream,2023-01-01T02:10:00Z,2023-01-01T02:10:00Z,96.0,100,,,https://istsos.org/v4/v1.1/Observations(439116)/Commit(307),%
439117,https://istsos.org/v4/v1.1/Observations(439117),https://istsos.org/v4/v1.1/Observations(439117)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439117)/Datastream,2023-01-01T02:20:00Z,2023-01-01T02:20:00Z,95.8,100,,,https://istsos.org/v4/v1.1/Observations(439117)/Commit(307),%
439118,https://istsos.org/v4/v1.1/Observations(439118),https://istsos.org/v4/v1.1/Observations(439118)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439118)/Datastream,2023-01-01T02:30:00Z,2023-01-01T02:30:00Z,96.4,100,,,https://istsos.org/v4/v1.1/Observations(439118)/Commit(307),%
439119,https://istsos.org/v4/v1.1/Observations(439119),https://istsos.org/v4/v1.1/Observations(439119)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439119)/Datastream,2023-01-01T02:40:00Z,2023-01-01T02:40:00Z,96.7,100,,,https://istsos.org/v4/v1.1/Observations(439119)/Commit(307),%
439120,https://istsos.org/v4/v1.1/Observations(439120),https://istsos.org/v4/v1.1/Observations(439120)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439120)/Datastream,2023-01-01T02:50:00Z,2023-01-01T02:50:00Z,97.1,100,,,https://istsos.org/v4/v1.1/Observations(439120)/Commit(307),%
439121,https://istsos.org/v4/v1.1/Observations(439121),https://istsos.org/v4/v1.1/Observations(439121)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439121)/Datastream,2023-01-01T03:00:00Z,2023-01-01T03:00:00Z,96.7,100,,,https://istsos.org/v4/v1.1/Observations(439121)/Commit(307),%
439122,https://istsos.org/v4/v1.1/Observations(439122),https://istsos.org/v4/v1.1/Observations(439122)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439122)/Datastream,2023-01-01T03:10:00Z,2023-01-01T03:10:00Z,97.0,100,,,https://istsos.org/v4/v1.1/Observations(439122)/Commit(307),%
439123,https://istsos.org/v4/v1.1/Observations(439123),https://istsos.org/v4/v1.1/Observations(439123)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439123)/Datastream,2023-01-01T03:20:00Z,2023-01-01T03:20:00Z,96.5,100,,,https://istsos.org/v4/v1.1/Observations(439123)/Commit(307),%
439124,https://istsos.org/v4/v1.1/Observations(439124),https://istsos.org/v4/v1.1/Observations(439124)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439124)/Datastream,2023-01-01T03:30:00Z,2023-01-01T03:30:00Z,96.4,100,,,https://istsos.org/v4/v1.1/Observations(439124)/Commit(307),%
439125,https://istsos.org/v4/v1.1/Observations(439125),https://istsos.org/v4/v1.1/Observations(439125)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439125)/Datastream,2023-01-01T03:40:00Z,2023-01-01T03:40:00Z,96.3,100,,,https://istsos.org/v4/v1.1/Observations(439125)/Commit(307),%
439126,https://istsos.org/v4/v1.1/Observations(439126),https://istsos.org/v4/v1.1/Observations(439126)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439126)/Datastream,2023-01-01T03:50:00Z,2023-01-01T03:50:00Z,96.3,100,,,https://istsos.org/v4/v1.1/Observations(439126)/Commit(307),%
439127,https://istsos.org/v4/v1.1/Observations(439127),https://istsos.org/v4/v1.1/Observations(439127)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439127)/Datastream,2023-01-01T04:00:00Z,2023-01-01T04:00:00Z,96.4,100,,,https://istsos.org/v4/v1.1/Observations(439127)/Commit(307),%
439128,https://istsos.org/v4/v1.1/Observations(439128),https://istsos.org/v4/v1.1/Observations(439128)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439128)/Datastream,2023-01-01T04:10:00Z,2023-01-01T04:10:00Z,96.6,100,,,https://istsos.org/v4/v1.1/Observations(439128)/Commit(307),%
439129,https://istsos.org/v4/v1.1/Observations(439129),https://istsos.org/v4/v1.1/Observations(439129)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439129)/Datastream,2023-01-01T04:20:00Z,2023-01-01T04:20:00Z,96.6,100,,,https://istsos.org/v4/v1.1/Observations(439129)/Commit(307),%
439130,https://istsos.org/v4/v1.1/Observations(439130),https://istsos.org/v4/v1.1/Observations(439130)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439130)/Datastream,2023-01-01T04:30:00Z,2023-01-01T04:30:00Z,96.3,100,,,https://istsos.org/v4/v1.1/Observations(439130)/Commit(307),%
439131,https://istsos.org/v4/v1.1/Observations(439131),https://istsos.org/v4/v1.1/Observations(439131)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439131)/Datastream,2023-01-01T04:40:00Z,2023-01-01T04:40:00Z,96.6,100,,,https://istsos.org/v4/v1.1/Observations(439131)/Commit(307),%
439132,https://istsos.org/v4/v1.1/Observations(439132),https://istsos.org/v4/v1.1/Observations(439132)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439132)/Datastream,2023-01-01T04:50:00Z,2023-01-01T04:50:00Z,96.3,100,,,https://istsos.org/v4/v1.1/Observations(439132)/Commit(307),%
439133,https://istsos.org/v4/v1.1/Observations(439133),https://istsos.org/v4/v1.1/Observations(439133)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439133)/Datastream,2023-01-01T05:00:00Z,2023-01-01T05:00:00Z,96.4,100,,,https://istsos.org/v4/v1.1/Observations(439133)/Commit(307),%
439134,https://istsos.org/v4/v1.1/Observations(439134),https://istsos.org/v4/v1.1/Observations(439134)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439134)/Datastream,2023-01-01T05:10:00Z,2023-01-01T05:10:00Z,96.2,100,,,https://istsos.org/v4/v1.1/Observations(439134)/Commit(307),%
439135,https://istsos.org/v4/v1.1/Observations(439135),https://istsos.org/v4/v1.1/Observations(439135)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439135)/Datastream,2023-01-01T05:20:00Z,2023-01-01T05:20:00Z,96.2,100,,,https://istsos.org/v4/v1.1/Observations(439135)/Commit(307),%
439136,https://istsos.org/v4/v1.1/Observations(439136),https://istsos.org/v4/v1.1/Observations(439136)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439136)/Datastream,2023-01-01T05:30:00Z,2023-01-01T05:30:00Z,96.2,100,,,https://istsos.org/v4/v1.1/Observations(439136)/Commit(307),%
439137,https://istsos.org/v4/v1.1/Observations(439137),https://istsos.org/v4/v1.1/Observations(439137)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439137)/Datastream,2023-01-01T05:40:00Z,2023-01-01T05:40:00Z,96.0,100,,,https://istsos.org/v4/v1.1/Observations(439137)/Commit(307),%
439138,https://istsos.org/v4/v1.1/Observations(439138),https://istsos.org/v4/v1.1/Observations(439138)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439138)/Datastream,2023-01-01T05:50:00Z,2023-01-01T05:50:00Z,95.8,100,,,https://istsos.org/v4/v1.1/Observations(439138)/Commit(307),%
439139,https://istsos.org/v4/v1.1/Observations(439139),https://istsos.org/v4/v1.1/Observations(439139)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(439139)/Datastream,2023-01-01T06:00:00Z,2023-01-01T06:00:00Z,96.3,100,,,https://istsos.org/v4/v1.1/Observations(439139)/Commit(307),%
