@iot.id,@iot.selfLink,FeatureOfInterest@iot.navigationLink,Datastream@iot.navigationLink,phenomenonTime,resultTime,result,resultQuality,validTime,parameters,Commit@iot.navigationLink,ylabel
402091,https://istsos.org/v4/v1.1/Observations(402091),https://istsos.org/v4/v1.1/Observations(402091)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402091)/Datastream,2022-12-31T23:10:00Z,2022-12-31T23:10:00Z,1.75,100,,,https://istsos.org/v4/v1.1/Observations(402091)/Commit(302),°C
402092,https://istsos.org/v4/v1.1/Observations(402092),https://istsos.org/v4/v1.1/Observations(402092)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402092)/Datastream,2022-12-31T23:20:00Z,2022-12-31T23:20:00Z,1.61,100,,,https://istsos.org/v4/v1.1/Observations(402092)/Commit(302),°C
402093,https://istsos.org/v4/v1.1/Observations(402093),https://istsos.org/v4/v1.1/Observations(402093)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402093)/Datastream,2022-12-31T23:30:00Z,2022-12-31T23:30:00Z,1.69,100,,,https://istsos.org/v4/v1.1/Observations(402093)/Commit(302),°C
402094,https://istsos.org/v4/v1.1/Observations(402094),https://istsos.org/v4/v1.1/Observations(402094)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402094)/Datastream,2022-12-31T23:40:00Z,2022-12-31T23:40:00Z,1.72,100,,,https://istsos.org/v4/v1.1/Observations(402094)/Commit(302),°C
402095,https://istsos.org/v4/v1.1/Observations(402095),https://istsos.org/v4/v1.1/Observations(402095)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402095)/Datastream,2022-12-31T23:50:00Z,2022-12-31T23:50:00Z,1.66,100,,,https://istsos.org/v4/v1.1/Observations(402095)/Commit(302),°C
402096,https://istsos.org/v4/v1.1/Observations(402096),https://istsos.org/v4/v1.1/Observations(402096)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402096)/Datastream,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,1.76,100,,,https://istsos.org/v4/v1.1/Observations(402096)/Commit(302),°C
402097,https://istsos.org/v4/v1.1/Observations(402097),https://istsos.org/v4/v1.1/Observations(402097)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402097)/Datastream,2023-01-01T00:10:00Z,2023-01-01T00:10:00Z,1.71,100,,,https://istsos.org/v4/v1.1/Observations(402097)/Commit(302),°C
402098,https://istsos.org/v4/v1.1/Observations(402098),https://istsos.org/v4/v1.1/Observations(402098)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402098)/Datastream,2023-01-01T00:20:00Z,2023-01-01T00:20:00Z,1.86,100,,,https://istsos.org/v4/v1.1/Observations(402098)/Commit(302),°C
402099,https://istsos.org/v4/v1.1/Observations(402099),https://istsos.org/v4/v1.1/Observations(402099)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402099)/Datastream,2023-01-01T00:30:00Z,2023-01-01T00:30:00Z,1.87,100,,,https://istsos.org/v4/v1.1/Observations(402099)/Commit(302),°C
402100,https://istsos.org/v4/v1.1/Observations(402100),https://istsos.org/v4/v1.1/Observations(402100)/FeatureOfInterest,https://istsos.org/v4/v1.1/Observations(402100)/Datastream,2023-01-01T00:40:00Z,2023-01-01T00:40:00Z,1.85,100,,,https://istsos.org/v4/v1.1/Observations(402100)/Commit(302),°C
